Name,NACA0012H for VAWT from Sandia report SAND80-2114
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),4
,
Airfoil surface,
X(mm),Y(mm)
99.765194,-6.849954
94.824878,-5.821831
89.881772,-4.833610
84.936154,-3.881301
79.988095,-2.963907
75.037734,-2.079433
70.085071,-1.227878
65.129967,-0.411239
60.172142,0.366496
55.211457,1.103331
50.247493,1.793280
45.180425,2.442322
40.207951,3.010569
35.230106,3.502003
30.245843,3.901661
27.854899,4.114964
25.363500,4.325268
22.870706,4.515620
20.375889,4.677043
17.878212,4.797566
15.376698,4.863222
12.869953,4.854062
10.356092,4.743150
8.337735,4.550474
6.310101,4.225122
5.291331,3.991619
4.268026,3.693274
3.238374,3.304151
2.199166,2.778362
1.142239,1.999191
0.599092,1.399619
0.000000,0.000000
0.398472,-1.469375
0.852889,-2.138704
1.791090,-3.057388
2.747010,-3.722690
3.712486,-4.251326
4.684310,-4.689184
5.660668,-5.062199
7.623290,-5.666577
9.595189,-6.138279
12.069148,-6.597974
14.550223,-6.955917
17.036530,-7.239042
19.526673,-7.467302
22.019677,-7.654661
24.514703,-7.813092
27.011124,-7.951570
29.408487,-8.073098
34.399865,-8.371005
39.397660,-8.577135
44.400827,-8.706454
49.508912,-8.768928
54.520589,-8.776543
59.535544,-8.737273
64.553360,-8.657103
69.573896,-8.538028
74.596873,-8.384038
79.622153,-8.197128
84.649734,-7.977299
89.679757,-7.722555
94.712291,-7.431899
99.747616,-7.101340
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.498782,-0.034878
0.997564,-0.069756
1.995128,-0.139513
2.992692,-0.209269
3.990256,-0.279026
4.987820,-0.348782
5.985384,-0.418539
7.980512,-0.558052
9.975641,-0.697565
12.469551,-0.871956
14.963461,-1.046347
17.457371,-1.220738
19.951281,-1.395129
22.445191,-1.569521
24.939101,-1.743912
27.433011,-1.918303
29.827165,-2.085719
34.814985,-2.434501
39.802806,-2.783283
44.790626,-3.132066
49.878203,-3.487824
54.866023,-3.836606
59.853843,-4.185388
64.841663,-4.534171
69.829484,-4.882953
74.817304,-5.231736
79.805124,-5.580518
84.792944,-5.929300
89.780765,-6.278083
94.768585,-6.626865
99.756405,-6.975647
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
99.756405,-6.975647
