Name,NACA 63-215 AIRFOIL
Chord(mm),100
Radius(mm),500
Thickness(%),120
Origin(%),0
Pitch(deg),-3
,
Airfoil surface,
X(mm),Y(mm)
99.720148,-4.754277
94.886259,-3.313211
90.053707,-1.757827
85.207077,-0.138409
80.335545,1.490342
75.435336,3.092168
70.500678,4.626172
65.531827,6.055705
60.526860,7.350366
55.489322,8.482998
50.422944,9.428969
45.330180,10.157797
40.217791,10.640125
35.092634,10.843175
29.962929,10.741515
24.837833,10.342297
19.726506,9.628871
14.641076,8.572843
9.595375,7.096931
7.096202,6.141955
4.620670,4.977107
2.185429,3.463974
0.999495,2.430380
0.542518,1.864141
0.321153,1.518730
0.000000,0.000000
0.670762,-1.347101
0.946156,-1.619043
1.483276,-2.046272
2.785321,-2.769015
5.332974,-3.746153
7.846805,-4.452602
10.341918,-5.010052
15.295968,-5.837716
20.221523,-6.424636
25.128887,-6.826664
30.027336,-7.067496
34.923471,-7.156641
39.824104,-7.082164
44.735123,-6.869471
49.661181,-6.548883
54.606795,-6.149662
59.572296,-5.702164
64.559068,-5.233254
69.568434,-4.769892
74.595890,-4.347031
79.638594,-4.008206
84.687738,-3.798753
89.734136,-3.775965
94.759714,-4.022557
99.720148,-4.754277
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.359807,0.769726
0.625569,0.239841
1.106383,0.299517
2.329959,0.434000
4.804182,0.682193
7.294181,0.894960
9.792175,1.083289
14.803963,1.395874
19.827868,1.620240
24.860209,1.768497
29.896717,1.842320
34.935219,1.844945
39.973644,1.778493
45.009934,1.643292
50.042063,1.440043
55.066965,1.168468
60.084525,0.827565
65.092530,0.415820
70.087801,-0.067111
75.070974,-0.623432
80.038439,-1.256542
84.990666,-1.968169
89.923973,-2.768221
94.836847,-3.669858
99.720148,-4.754277
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
4.994373,0.236710
9.990863,0.423465
14.988971,0.560247
19.988197,0.647041
24.988040,0.683840
29.988002,0.670640
34.987582,0.607441
39.986280,0.494251
44.983596,0.331080
49.979030,0.117945
54.972083,-0.145133
59.962256,-0.458128
64.949050,-0.821008
69.931965,-1.233736
74.910505,-1.696273
79.884169,-2.208571
84.852463,-2.770579
89.814888,-3.382241
94.770948,-4.043496
99.720148,-4.754277
