Name,NACA 63-215 AIRFOIL
Chord(mm),100
Radius(mm),500
Thickness(%),120
Origin(%),0
Pitch(deg),-1
,
Airfoil surface,
X(mm),Y(mm)
99.493479,-8.231564
94.712827,-6.622675
89.937501,-4.899586
85.150341,-3.112009
80.338619,-1.314236
75.497298,0.457629
70.619182,2.162916
65.703248,3.764988
60.746513,5.233531
55.751572,6.541281
50.721294,7.663489
45.657068,8.569609
40.564627,9.230063
35.449677,9.611854
30.319550,9.689281
25.183643,9.469169
20.050532,8.934560
14.931345,8.056655
9.837209,6.757734
7.306230,5.890559
4.791554,4.812816
2.304989,3.385593
1.083705,2.394018
0.607245,1.844071
0.373960,1.506596
0.000000,0.000000
0.623340,-1.369690
0.889075,-1.651077
1.410958,-2.096791
2.686987,-2.864534
5.198986,-3.929989
7.686632,-4.723739
10.160769,-5.367928
15.082916,-6.367981
19.984988,-7.126444
24.875332,-7.699490
29.762392,-8.111130
34.652433,-8.371093
39.552680,-8.467690
44.468130,-8.426519
49.402376,-8.278044
54.358910,-8.051666
59.337003,-7.777733
64.337103,-7.483145
69.359588,-7.194889
74.398739,-6.947742
79.450196,-6.785111
84.503574,-6.751999
89.547693,-6.905341
94.561604,-7.327172
99.493479,-8.231564
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.386451,0.756700
0.633558,0.217863
1.116162,0.260722
2.343686,0.352421
4.825064,0.514114
7.320971,0.639852
9.824016,0.740887
14.843660,0.878373
19.872334,0.927270
24.906785,0.899810
29.942801,0.797818
34.978325,0.624599
40.011361,0.382350
45.039865,0.071467
50.061835,-0.307277
55.074199,-0.754053
60.076804,-1.269858
65.067389,-1.856129
70.042763,-2.513099
75.003485,-3.242991
79.945829,-4.049078
84.870204,-4.933102
89.772585,-5.904836
94.650999,-6.977380
99.493479,-8.231564
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
4.999591,0.062265
9.999556,0.074531
14.999392,0.036798
19.998602,-0.050931
24.996684,-0.188646
29.993139,-0.376335
34.987468,-0.613978
39.979170,-0.901551
44.967747,-1.239027
49.952700,-1.626370
54.933531,-2.063543
59.909741,-2.550501
64.880832,-3.087197
69.846308,-3.673575
74.805672,-4.309578
79.758428,-4.995143
84.704081,-5.730199
89.642136,-6.514675
94.572100,-7.348491
99.493479,-8.231564
