Name,NACA 63-215 AIRFOIL
Chord(mm),100
Radius(mm),500
Thickness(%),120
Origin(%),0
Pitch(deg),-5
,
Airfoil surface,
X(mm),Y(mm)
99.825323,-1.271198
94.944086,0.000290
90.060196,1.386072
85.160002,2.835360
80.234594,4.293104
75.281467,5.722940
70.296280,7.083792
65.280566,8.339043
60.233465,9.458245
55.159467,10.414380
50.063162,11.182960
44.948064,11.733610
39.821957,12.037225
34.692835,12.061285
29.569803,11.780663
24.461761,11.202824
19.378446,10.311450
14.332969,9.078587
9.341851,7.427482
6.877528,6.385867
4.444156,5.135335
2.063207,3.538134
0.914067,2.463781
0.477130,1.881939
0.267954,1.529012
0.000000,0.000000
0.717367,-1.322871
1.002083,-1.585037
1.553786,-1.993260
2.880262,-2.670122
5.460464,-3.557753
7.997419,-4.176040
10.510466,-4.646073
15.490383,-5.300338
20.433422,-5.715002
25.351826,-5.945519
30.255696,-6.015252
35.151959,-5.933470
40.047008,-5.688008
44.947612,-5.304053
49.859482,-4.811743
54.788150,-4.240166
59.735009,-3.619647
64.702378,-2.976987
69.692522,-2.339083
74.702158,-1.741024
79.729965,-1.226418
84.768723,-0.840880
89.811252,-0.641989
94.842374,-0.713040
99.825323,-1.271198
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.332725,0.781814
0.616817,0.261527
1.095256,0.337947
2.313394,0.515050
4.777448,0.849441
7.258503,1.148978
9.748404,1.424371
14.746229,1.911674
19.759243,2.311235
24.783345,2.635028
29.814209,2.884578
34.849550,3.063042
39.887224,3.172470
44.925165,3.213115
49.961322,3.185608
54.992641,3.089566
60.019041,2.923981
65.038366,2.687264
70.047447,2.378959
75.047000,1.996887
80.033535,1.537524
85.007580,0.999161
89.965804,0.371767
94.907151,-0.357864
99.825323,-1.271198
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
4.983069,0.410867
9.969998,0.771883
14.960288,1.083013
19.953439,1.344225
24.948953,1.555494
29.946329,1.716797
34.945069,1.828120
39.944672,1.889451
44.944638,1.900783
49.944468,1.862116
54.943661,1.773453
59.941717,1.634804
64.938137,1.446182
69.932422,1.207606
74.924070,0.919099
79.912584,0.580692
84.897465,0.192417
89.878213,-0.245686
94.854332,-0.733574
99.825323,-1.271198
