Name,NACA 63-215 AIRFOIL
Chord(mm),100
Radius(mm),500
Thickness(%),100
Origin(%),0
Pitch(deg),-7
,
Airfoil surface,
X(mm),Y(mm)
99.808876,2.213430
94.877885,3.190875
89.941131,4.255142
84.987974,5.363582
80.012342,6.470083
75.013455,7.544252
69.988642,8.551740
64.940659,9.462058
59.869428,10.249804
54.779890,10.892579
49.676830,11.370109
44.563978,11.657177
39.449078,11.729769
34.339987,11.561035
29.245270,11.130321
24.172371,10.444123
19.130126,9.489156
14.130847,8.242584
9.190939,6.641032
6.754511,5.658198
4.351153,4.500313
2.003920,3.053432
0.874905,2.101025
0.448017,1.594075
0.244699,1.289272
0.000000,0.000000
0.735342,-1.068711
1.023434,-1.273510
1.580327,-1.587135
2.915257,-2.087277
5.507022,-2.703576
8.053017,-3.099148
10.574018,-3.374130
15.568051,-3.693800
20.524000,-3.823354
25.453923,-3.808568
30.367325,-3.668555
35.270331,-3.410821
40.167994,-3.025041
45.066769,-2.531992
49.972373,-1.956615
54.890512,-1.322979
59.822978,-0.656323
64.772567,0.021085
69.742197,0.686883
74.729739,1.311733
79.735610,1.859250
84.754706,2.291221
89.782803,2.559458
94.809267,2.594153
99.808876,2.213430
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.320372,0.668870
0.611479,0.248617
1.087629,0.335845
2.300201,0.543006
4.753372,0.940604
7.224101,1.307862
9.704115,1.653311
14.683456,2.285814
19.679933,2.837446
24.689372,3.317995
29.707541,3.728542
34.732199,4.071625
39.761247,4.348872
44.792707,4.560425
49.824601,4.706747
54.853980,4.787434
59.880886,4.801665
64.903319,4.748067
69.918238,4.626197
74.926550,4.434281
79.925035,4.169317
84.914435,3.829916
89.892018,3.407657
94.857541,2.891520
99.808876,2.213430
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
4.965695,0.584523
9.936986,1.119361
14.913378,1.604460
19.894371,2.039771
24.879469,2.425252
29.868171,2.760863
34.859981,3.046572
39.854398,3.282349
44.850923,3.468170
49.849056,3.604018
54.848298,3.689879
59.848149,3.725744
64.848108,3.711609
69.847676,3.647476
74.846352,3.533352
79.843638,3.369247
84.839032,3.155179
89.832036,2.891168
94.822151,2.577241
99.808876,2.213430
