Name,NACA 63-412 AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),1
,
Airfoil surface,
X(mm),Y(mm)
99.984770,-1.745241
95.023903,-0.777514
90.065635,0.167163
85.102734,1.132925
80.132747,2.093810
75.153377,3.032855
70.166258,3.929028
65.169040,4.762369
60.162376,5.512861
55.146967,6.163491
50.124447,6.693227
45.094921,7.108068
40.058621,7.364002
35.017336,7.448998
29.972841,7.350021
24.927098,7.065038
19.882917,6.582998
14.839879,5.879904
9.804881,4.892626
7.293325,4.252362
4.788131,3.460963
2.299589,2.420235
1.070842,1.700570
0.589951,1.309903
0.354640,1.064973
0.000000,0.000000
0.648698,-0.882456
0.914707,-1.056125
1.436247,-1.316266
2.712634,-1.763611
5.232405,-2.371679
7.733955,-2.820406
10.228164,-3.173989
15.202534,-3.711886
20.166559,-4.097579
25.127766,-4.358204
30.085876,-4.509758
35.037707,-4.551185
40.003961,-4.476847
44.966813,-4.299434
49.937165,-4.036138
54.912721,-3.703923
59.894114,-3.323803
64.882715,-2.931806
69.880275,-2.484957
74.886257,-2.071261
79.898453,-1.702680
84.918356,-1.408244
89.943042,-1.240912
94.968294,-1.327627
99.984770,-1.745241
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.345295,0.529554
0.578432,0.650004
1.046317,0.295516
2.264552,0.412973
4.738372,0.610255
7.232477,0.766413
9.735176,0.899203
14.756665,1.112615
19.790021,1.260946
24.827585,1.363916
29.869419,1.425021
34.912621,1.449867
39.955259,1.442439
44.995340,1.403047
50.030806,1.328544
55.060890,1.232153
60.085332,1.099015
65.102008,0.922088
70.110405,0.729237
75.108945,0.487351
80.099699,0.200498
85.080596,-0.135327
90.053331,-0.537719
95.019069,-1.054483
99.984770,-1.745241
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
99.984770,-1.745241
