Name,NACA 63-215 AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
95.014000,0.616000
90.030000,1.368000
85.043000,2.213000
80.051000,3.105000
75.055000,4.014000
70.053000,4.906000
65.047000,5.751000
60.035000,6.524000
55.019000,7.203000
50.000000,7.768000
44.977000,8.194000
39.952000,8.457000
34.926000,8.530000
29.900000,8.392000
24.875000,8.049000
19.852000,7.487000
14.834000,6.682000
9.823000,5.569000
7.323000,4.847000
4.829000,3.960000
2.348000,2.792000
1.120000,1.980000
0.637000,1.528000
0.399000,1.250000
0.000000,0.000000
0.601000,-1.150000
0.863000,-1.388000
1.380000,-1.766000
2.652000,-2.420000
5.171000,-3.328000
7.677000,-3.999000
10.177000,-4.535000
15.166000,-5.336000
20.148000,-5.895000
25.125000,-6.259000
30.100000,-6.448000
35.074000,-6.470000
40.048000,-6.315000
45.023000,-6.004000
50.000000,-5.562000
54.981000,-5.013000
59.965000,-4.382000
64.953000,-3.691000
69.947000,-2.962000
74.945000,-2.224000
79.949000,-1.513000
84.957000,-0.867000
89.970000,-0.334000
94.986000,0.016000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.399000,0.625000
0.637000,0.172649
1.120000,0.202048
2.348000,0.264151
4.829000,0.377639
7.323000,0.471393
9.823000,0.554949
14.834000,0.699652
19.852000,0.812606
24.875000,0.904142
29.900000,0.975799
34.926000,1.030327
39.952000,1.069504
44.977000,1.093562
50.000000,1.103000
55.019000,1.097405
60.035000,1.075849
65.047000,1.036861
70.053000,0.979826
75.055000,0.902815
80.051000,0.802579
85.043000,0.677572
90.030000,0.519093
95.014000,0.315955
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
