Name,NACA 63(2)-215 MOD B
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
99.500000,0.060000
99.000000,0.120000
98.000000,0.230000
97.000000,0.360000
96.000000,0.480000
95.000000,0.620000
92.500000,0.980000
90.000000,1.370000
87.500000,1.790000
85.000000,2.220000
82.500000,2.660000
80.000000,3.110000
77.500000,3.570000
75.000000,4.020000
72.500000,4.470000
70.000000,4.910000
67.500000,5.340000
65.000000,5.760000
62.500000,6.150000
60.000000,6.530000
57.500000,6.880000
55.000000,7.200000
52.500000,7.500000
50.000000,7.770000
47.500000,8.000000
45.000000,8.190000
42.500000,8.350000
40.000000,8.450000
37.500000,8.520000
35.000000,8.530000
32.500000,8.560000
30.000000,8.590000
27.500000,8.600000
25.000000,8.590000
22.500000,8.550000
20.000000,8.470000
17.500000,8.350000
15.000000,8.160000
12.500000,7.880000
10.000000,7.480000
9.000000,7.270000
8.000000,7.020000
7.000000,6.730000
6.000000,6.400000
5.000000,5.990000
4.000000,5.500000
3.000000,4.890000
2.000000,4.080000
1.000000,2.930000
0.500000,2.050000
0.400000,1.820000
0.300000,1.560000
0.200000,1.250000
0.100000,0.850000
0.080000,0.750000
0.060000,0.640000
0.040000,0.510000
0.020000,0.340000
0.000000,0.000000
0.020000,-0.110000
0.040000,-0.220000
0.060000,-0.310000
0.080000,-0.370000
0.100000,-0.420000
0.200000,-0.630000
0.300000,-0.790000
0.400000,-0.930000
0.500000,-1.040000
1.000000,-1.500000
2.000000,-2.110000
3.000000,-2.560000
4.000000,-2.940000
5.000000,-3.280000
6.000000,-3.570000
7.000000,-3.840000
8.000000,-4.080000
9.000000,-4.300000
10.000000,-4.500000
12.500000,-4.940000
15.000000,-5.310000
17.500000,-5.620000
20.000000,-5.880000
22.500000,-6.090000
25.000000,-6.250000
27.500000,-6.370000
30.000000,-6.450000
32.500000,-6.480000
35.000000,-6.470000
37.500000,-6.410000
40.000000,-6.320000
42.500000,-6.180000
45.000000,-6.010000
47.500000,-5.800000
50.000000,-5.560000
52.500000,-5.300000
55.000000,-5.010000
57.500000,-4.700000
60.000000,-4.380000
62.500000,-4.040000
65.000000,-3.680000
67.500000,-3.320000
70.000000,-2.950000
72.500000,-2.580000
75.000000,-2.210000
77.500000,-1.850000
80.000000,-1.500000
82.500000,-1.170000
85.000000,-0.860000
87.500000,-0.580000
90.000000,-0.330000
92.500000,-0.130000
95.000000,0.010000
96.000000,0.050000
97.000000,0.070000
98.000000,0.080000
99.000000,0.060000
99.500000,0.030000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.020000,0.115000
0.040000,0.145000
0.060000,0.165000
0.080000,0.190000
0.100000,0.215000
0.200000,0.310000
0.300000,0.385000
0.400000,0.445000
0.500000,0.505000
1.000000,0.715000
2.000000,0.985000
3.000000,1.165000
4.000000,1.280000
5.000000,1.355000
6.000000,1.415000
7.000000,1.445000
8.000000,1.470000
9.000000,1.485000
10.000000,1.490000
12.500000,1.470000
15.000000,1.425000
17.500000,1.365000
20.000000,1.295000
22.500000,1.230000
25.000000,1.170000
27.500000,1.115000
30.000000,1.070000
32.500000,1.040000
35.000000,1.030000
37.500000,1.055000
40.000000,1.065000
42.500000,1.085000
45.000000,1.090000
47.500000,1.100000
50.000000,1.105000
52.500000,1.100000
55.000000,1.095000
57.500000,1.090000
60.000000,1.075000
62.500000,1.055000
65.000000,1.040000
67.500000,1.010000
70.000000,0.980000
72.500000,0.945000
75.000000,0.905000
77.500000,0.860000
80.000000,0.805000
82.500000,0.745000
85.000000,0.680000
87.500000,0.605000
90.000000,0.520000
92.500000,0.425000
95.000000,0.315000
96.000000,0.265000
97.000000,0.215000
98.000000,0.155000
99.000000,0.090000
99.500000,0.045000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
