Name,NACA 0012-34
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),5
,
Airfoil surface,
X(mm),Y(mm)
99.629928,-8.596031
94.728005,-7.256704
89.820243,-5.984121
79.984933,-3.665093
70.124087,-1.637950
60.235350,0.070411
50.317591,1.447039
40.370722,2.490938
30.391344,3.163257
20.367778,3.330505
15.334511,3.168567
10.280327,2.767542
7.744519,2.467410
5.198253,2.047735
2.636908,1.455718
1.343991,1.019744
0.000000,0.000000
1.146496,-1.237633
2.344065,-1.891496
4.763694,-2.919292
7.198401,-3.774746
9.643567,-4.510657
14.551330,-5.783239
19.480010,-6.816734
29.380338,-8.392602
39.324853,-9.463398
49.301878,-10.162614
59.308013,-10.529100
69.343171,-10.563854
79.406219,-10.279826
89.494803,-9.703912
94.548987,-9.302888
99.609011,-8.835118
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.245243,-0.108945
2.490487,-0.217889
4.980973,-0.435779
7.471460,-0.653668
9.961947,-0.871557
14.942920,-1.307336
19.923894,-1.743115
29.885841,-2.614672
39.847788,-3.486230
49.809735,-4.357787
59.771682,-5.229345
69.733629,-6.100902
79.695576,-6.972459
89.657523,-7.844017
94.638496,-8.279796
99.619470,-8.715574
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
99.619470,-8.715574
