Name,NACA 64(3)-418
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),5
,
Airfoil surface,
X(mm),Y(mm)
99.619470,-8.715574
94.765126,-7.256940
89.920046,-5.726841
85.071229,-4.136186
80.212289,-2.523565
75.341867,-0.915962
70.455395,0.645865
65.549610,2.136104
60.624238,3.528677
55.677275,4.800674
50.709182,5.922942
45.716996,6.861612
40.700044,7.574581
35.652426,7.959976
30.584924,8.095153
25.499879,7.983920
20.398500,7.617139
15.282766,6.971548
10.153152,5.960777
7.582918,5.267148
5.009809,4.380034
2.436393,3.156666
1.152944,2.278183
0.644517,1.790641
0.393430,1.479340
0.000000,0.000000
0.620196,-1.367256
0.874178,-1.642440
1.374845,-2.069702
2.609425,-2.851276
5.062303,-3.992401
7.507819,-4.884938
9.950980,-5.643761
14.837698,-6.904464
19.726792,-7.931485
24.621873,-8.775330
29.525619,-9.451292
34.440285,-9.956556
39.368907,-10.279342
44.322269,-10.342296
49.294819,-10.243305
54.285884,-10.024473
59.292501,-9.719668
64.314783,-9.362028
69.350724,-8.974464
74.399355,-8.591022
79.456367,-8.249470
84.516493,-7.998535
94.622032,-8.043461
99.619470,-8.715574
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.327715,0.728209
0.564334,0.874141
0.984220,0.349662
2.191912,0.362239
4.658913,0.369270
7.151401,0.334891
9.656274,0.281437
14.684255,0.130539
19.724549,-0.086151
24.771127,-0.345756
29.820201,-0.645666
34.870263,-0.980186
39.919694,-1.344863
44.964484,-1.739641
50.002000,-2.160182
55.029012,-2.609012
60.045239,-3.089309
65.047407,-3.604096
70.035440,-4.154245
75.006932,-4.744285
79.962368,-5.380168
84.902231,-6.067842
89.819660,-6.874253
94.730288,-7.655138
99.619470,-8.715574
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
99.619470,-8.715574
